recorded_at_utc,summary_phase,cycle_number,session_asset,session_event_id,session_market_id,session_condition_id,session_title,session_slug,window_start_utc,window_end_utc,time_left,balance,cash,open_value,exposure,lifetime_buys,realized,unrealized,trades,market_max_alpha,avg_max_alpha,first_entry_rule,total_trades,avg_win_rate_per_trade,avg_trades_per_market,avg_buy_alpha,balance_std_dev,overall_return,return_per_market,return_per_day,this_market,start_ref,current_ref,sigma_per_sqrt_s,fair_up,cycle_duration,reconnects
2026-04-16T01:05:05.212817+00:00,finished,44,ethereum,380240,1987656,0xe6fca53eaaa0943eb607d71fbcfc1916bde726a26871358356e2267d6c74fc04,"Ethereum Up or Down - April 15, 9:00PM-9:05PM ET",eth-updown-5m-1776301200,2026-04-16T01:00:00+00:00,2026-04-16T01:05:00+00:00,0s,$67.15,$67.15,$0.00,$0.00 / $3.00,$0.34 / $3.00,$-0.34,$0.00,1,0.2177,0.3902,used,138,47.0%,3.14,+0.2072,$0.00,34.3%,0.7%,210.9%,-0.5%,2360.0750,2355.9250,0.196222,0.0000,4m 59s,0
2026-04-16T01:10:05.245024+00:00,finished,45,ethereum,380256,1987684,0xa2090f250ee86ddee5e671dafc8e43b9f1ce7bfd23afab4c1c8fcc5408bf1e8f,"Ethereum Up or Down - April 15, 9:05PM-9:10PM ET",eth-updown-5m-1776301500,2026-04-16T01:05:00+00:00,2026-04-16T01:10:00+00:00,0s,$67.12,$67.12,$0.00,$0.00 / $3.00,$0.03 / $3.00,$-0.03,$0.00,1,0.1631,0.3851,used,139,46.6%,3.09,+0.2064,$0.01,34.2%,0.7%,206.0%,-0.0%,2355.9250,2351.6350,0.309425,0.0000,4m 59s,0
2026-04-16T01:15:05.202729+00:00,finished,46,ethereum,380265,1987695,0x5ffa4e88f8f81d957cb73236f0eeec60517be0137a376d63207eee32d12eb392,"Ethereum Up or Down - April 15, 9:10PM-9:15PM ET",eth-updown-5m-1776301800,2026-04-16T01:10:00+00:00,2026-04-16T01:15:00+00:00,0s,$67.56,$67.56,$0.00,$0.00 / $3.00,$0.56 / $3.00,$0.44,$0.00,1,0.1946,0.3810,used,140,47.0%,3.04,+0.2057,$0.07,35.1%,0.7%,205.6%,0.7%,2351.6650,2351.0400,0.157281,0.0000,4m 59s,0
2026-04-16T01:20:05.226712+00:00,finished,47,ethereum,380267,1987719,0xfb7e823231382b569a597d1f56dcaad08ee20e56d2bd447137bc39ccf6cac7e9,"Ethereum Up or Down - April 15, 9:15PM-9:20PM ET",eth-updown-5m-1776302100,2026-04-16T01:15:00+00:00,2026-04-16T01:20:00+00:00,0s,$67.08,$67.08,$0.00,$0.00 / $3.00,$0.49 / $3.00,$-0.49,$0.00,1,0.1497,0.3761,used,141,46.7%,3.00,+0.2050,$0.07,34.2%,0.7%,196.8%,-0.7%,2351.1150,2354.1250,0.136088,1.0000,4m 59s,0
2026-04-16T01:25:05.463795+00:00,finished,48,ethereum,380283,1987739,0x258a5758dee6fb55ebee5abd54e9011688fd4134aad61e50006cdd2fc90d1d62,"Ethereum Up or Down - April 15, 9:20PM-9:25PM ET",eth-updown-5m-1776302400,2026-04-16T01:20:00+00:00,2026-04-16T01:25:00+00:00,0s,$70.82,$70.82,$0.00,$0.00 / $3.00,$1.25 / $3.00,$3.75,$0.00,5,0.3182,0.3749,used,146,48.6%,3.04,+0.2046,$1.55,41.6%,0.8%,226.2%,5.6%,2354.3050,2351.1650,0.163459,0.0000,5m 00s,0
2026-04-16T01:30:05.201514+00:00,finished,49,ethereum,380288,1987745,0xed969673b506dbb5c8a50e52122a11418ac4fc77c37909cb80a9d19186d66ee1,"Ethereum Up or Down - April 15, 9:25PM-9:30PM ET",eth-updown-5m-1776302700,2026-04-16T01:25:00+00:00,2026-04-16T01:30:00+00:00,0s,$73.97,$73.97,$0.00,$0.00 / $3.00,$1.85 / $3.00,$3.15,$0.00,5,0.2794,0.3729,used,151,50.3%,3.08,+0.2044,$1.27,47.9%,0.9%,247.8%,4.4%,2350.9850,2351.6650,0.141616,1.0000,4m 58s,0
2026-04-16T01:35:05.339878+00:00,finished,50,ethereum,380296,1987753,0xbbcac6d7ebfccc77f35449e0ba325fd916bd386a17f5bc777816bd59211db94a,"Ethereum Up or Down - April 15, 9:30PM-9:35PM ET",eth-updown-5m-1776303000,2026-04-16T01:30:00+00:00,2026-04-16T01:35:00+00:00,0s,$74.53,$74.53,$0.00,$0.00 / $3.00,$0.45 / $3.00,$0.55,$0.00,1,0.1862,0.3692,used,152,50.7%,3.04,+0.2038,$0.07,49.1%,0.9%,247.1%,0.7%,2351.6900,2354.8550,0.158259,1.0000,4m 59s,0
2026-04-16T01:40:05.223665+00:00,finished,51,ethereum,380312,1987793,0x6960cfab889c5a7dfd576bb20d64dc9b4efb6f245d70c42c6b126b466935057e,"Ethereum Up or Down - April 15, 9:35PM-9:40PM ET",eth-updown-5m-1776303300,2026-04-16T01:35:00+00:00,2026-04-16T01:40:00+00:00,0s,$73.38,$73.38,$0.00,$0.00 / $3.00,$1.16 / $3.00,$-1.14,$0.00,6,0.3314,0.3685,used,158,49.0%,3.10,+0.2036,$0.49,46.8%,0.8%,233.6%,-1.5%,2354.5850,2352.7750,0.141151,0.0000,4m 58s,0
2026-04-16T01:45:05.472655+00:00,finished,52,ethereum,380323,1987809,0x3255ecb5d1ff613306284e252c3d66be2f337d768ad1ee8bc1488719e9bf07f5,"Ethereum Up or Down - April 15, 9:40PM-9:45PM ET",eth-updown-5m-1776303600,2026-04-16T01:40:00+00:00,2026-04-16T01:45:00+00:00,0s,$74.79,$74.79,$0.00,$0.00 / $3.00,$1.59 / $3.00,$1.41,$0.00,3,0.2070,0.3653,used,161,50.0%,3.10,+0.2030,$0.08,49.6%,0.8%,239.7%,1.9%,2352.7350,2355.1250,0.124584,1.0000,5m 00s,0
2026-04-16T01:50:05.223919+00:00,finished,53,ethereum,380332,1987820,0x8ad8b3df56d87cb669cb3d89cc74454b2f0b3131fa4a455ed21a01dd879d1654,"Ethereum Up or Down - April 15, 9:45PM-9:50PM ET",eth-updown-5m-1776303900,2026-04-16T01:45:00+00:00,2026-04-16T01:50:00+00:00,0s,$78.63,$78.63,$0.00,$0.00 / $3.00,$1.16 / $3.00,$3.84,$0.00,5,0.3589,0.3652,used,166,51.6%,3.13,+0.2026,$1.34,57.3%,0.9%,263.1%,5.1%,2354.7350,2355.8350,0.132221,1.0000,4m 58s,0
